Driver,q95_naive,q95_boot_CI_low,q95_boot_CI_high,n_test_samples,n_ground_truth_incidents
PIA,2.3375,2.1943,2.5592,3063,1
NOR,2.4405,2.1789,2.6043,4496,2
RUS,2.6881,2.4938,2.9033,2963,1
ALB,2.7576,2.5794,3.047,2579,0
HAM,2.8357,2.5805,3.1114,2359,2
STR,2.8479,2.6462,3.0539,3487,0
ALO,2.9395,2.686,3.1432,3345,1
SAI,2.959,2.7465,3.1469,2361,1
HUL,3.0325,2.8309,3.4247,2722,0
ZHO,3.0882,2.8985,3.2925,2433,0
BOT,3.1458,2.918,3.4593,2618,1
LEC,3.1576,2.8687,3.4555,2984,1
OCO,3.173,2.6802,3.6641,2801,0
GAS,3.2008,2.888,3.5147,3789,0
PER,3.2316,2.9577,3.5,3090,3
VER,3.3339,3.0607,3.7493,2566,0
MAG,3.4005,3.0364,3.6548,2410,0
SAR,3.4226,3.2092,3.8313,2784,1
LAW,3.8105,3.4954,4.1965,2713,0
