Driver,method,n_flags,n_incidents,precision,recall,mean_lead_time_s,median_lead_time_s
VER,conformal_volatility,322,0,0.0,,,
VER,static_threshold_baseline,497,0,0.0,,,
PER,conformal_volatility,381,3,0.0,0.0,,
PER,static_threshold_baseline,661,3,0.0,0.0,,
SAI,conformal_volatility,272,1,0.0,0.0,,
SAI,static_threshold_baseline,666,1,0.0,0.0,,
LEC,conformal_volatility,226,1,0.0,0.0,,
LEC,static_threshold_baseline,706,1,0.0,0.0,,
RUS,conformal_volatility,241,1,0.0,0.0,,
RUS,static_threshold_baseline,631,1,0.0,0.0,,
HAM,conformal_volatility,416,2,0.0,0.0,,
HAM,static_threshold_baseline,673,2,0.0,0.0,,
ALB,conformal_volatility,193,0,0.0,,,
ALB,static_threshold_baseline,620,0,0.0,,,
NOR,conformal_volatility,1004,2,0.0,0.0,,
NOR,static_threshold_baseline,1129,2,0.002657218777679362,0.5,7.284666666666756,7.255000000000109
ALO,conformal_volatility,388,1,0.0,0.0,,
ALO,static_threshold_baseline,675,1,0.0,0.0,,
BOT,conformal_volatility,303,1,0.0,0.0,,
BOT,static_threshold_baseline,570,1,0.0,0.0,,
LAW,conformal_volatility,467,0,0.0,,,
LAW,static_threshold_baseline,602,0,0.0,,,
PIA,conformal_volatility,972,1,0.0,0.0,,
PIA,static_threshold_baseline,849,1,0.0,0.0,,
SAR,conformal_volatility,359,1,0.0,0.0,,
SAR,static_threshold_baseline,679,1,0.0,0.0,,
ZHO,conformal_volatility,208,0,0.0,,,
ZHO,static_threshold_baseline,562,0,0.0,,,
GAS,conformal_volatility,649,0,0.0,,,
GAS,static_threshold_baseline,922,0,0.0,,,
STR,conformal_volatility,665,0,0.0,,,
STR,static_threshold_baseline,940,0,0.0,,,
HUL,conformal_volatility,603,0,0.0,,,
HUL,static_threshold_baseline,556,0,0.0,,,
MAG,conformal_volatility,419,0,0.0,,,
MAG,static_threshold_baseline,502,0,0.0,,,
OCO,conformal_volatility,585,0,0.0,,,
OCO,static_threshold_baseline,583,0,0.0,,,
