SessionTime_s,DriverNumber,Category,Flag,Message
6071.008,11,TrackLimitsDeletion,,Lap deleted for track limits: PER
8593.08,11,TrackLimitsDeletion,,Lap deleted for track limits: PER
8766.033,11,TrackLimitsDeletion,,Lap deleted for track limits: PER
5123.227,14,TrackLimitsDeletion,,Lap deleted for track limits: ALO
8939.819,16,TrackLimitsDeletion,,Lap deleted for track limits: LEC
8643.412,2,TrackLimitsDeletion,,Lap deleted for track limits: SAR
5295.137,4,TrackLimitsDeletion,,Lap deleted for track limits: NOR
8187.999,4,TrackLimitsDeletion,,Lap deleted for track limits: NOR
8363.708,44,TrackLimitsDeletion,,Lap deleted for track limits: HAM
8450.366,44,TrackLimitsDeletion,,Lap deleted for track limits: HAM
8939.725,55,TrackLimitsDeletion,,Lap deleted for track limits: SAI
6070.684,63,TrackLimitsDeletion,,Lap deleted for track limits: RUS
8643.765,77,TrackLimitsDeletion,,Lap deleted for track limits: BOT
8363.219,81,TrackLimitsDeletion,,Lap deleted for track limits: PIA
