Driver,ljung_box_pvalue_lag10,residuals_likely_autocorrelated
VER,2.768833759408142e-96,True
PER,1.6280838525873178e-142,True
SAI,1.92205672464887e-120,True
LEC,2.2924951139657996e-234,True
RUS,2.1006201697857485e-183,True
HAM,0.0,True
ALB,6.592510781558955e-149,True
NOR,0.0,True
ALO,3.26497445188707e-296,True
BOT,0.0,True
LAW,0.0,True
PIA,1.9288111715454173e-195,True
SAR,1.1704793568504326e-276,True
ZHO,1.2915272814694925e-158,True
GAS,0.0,True
STR,0.0,True
HUL,0.0,True
MAG,2.2585145403428352e-136,True
OCO,3.981115381601093e-177,True
