Driver,k,precision,recall,n_flags
VER,5,0.0,,281
VER,10,0.0,,352
VER,20,0.0,,322
VER,50,0.0,,190
PER,5,0.0,0.0,255
PER,10,0.0,0.0,326
PER,20,0.0,0.0,381
PER,50,0.0,0.0,209
SAI,5,0.0,0.0,293
SAI,10,0.0,0.0,338
SAI,20,0.0,0.0,272
SAI,50,0.0,0.0,172
LEC,5,0.0,0.0,272
LEC,10,0.0,0.0,265
LEC,20,0.0,0.0,226
LEC,50,0.0,0.0,83
RUS,5,0.0,0.0,255
RUS,10,0.0,0.0,240
RUS,20,0.0,0.0,241
RUS,50,0.0,0.0,240
HAM,5,0.0,0.0,268
HAM,10,0.0,0.0,356
HAM,20,0.0,0.0,416
HAM,50,0.0,0.0,276
ALB,5,0.0,,229
ALB,10,0.0,,288
ALB,20,0.0,,193
ALB,50,0.0,,122
NOR,5,0.005997001499250375,0.5,667
NOR,10,0.0023752969121140144,0.5,842
NOR,20,0.0,0.0,1004
NOR,50,0.0,0.0,1101
ALO,5,0.0,0.0,298
ALO,10,0.0,0.0,336
ALO,20,0.0,0.0,388
ALO,50,0.0,0.0,387
BOT,5,0.0,0.0,257
BOT,10,0.0,0.0,275
BOT,20,0.0,0.0,303
BOT,50,0.0,0.0,278
LAW,5,0.0,,321
LAW,10,0.0,,431
LAW,20,0.0,,467
LAW,50,0.0,,386
PIA,5,0.0,0.0,511
PIA,10,0.0,0.0,701
PIA,20,0.0,0.0,972
PIA,50,0.0,0.0,1316
SAR,5,0.0,0.0,316
SAR,10,0.0,0.0,366
SAR,20,0.0,0.0,359
SAR,50,0.0,0.0,190
ZHO,5,0.0,,260
ZHO,10,0.0,,283
ZHO,20,0.0,,208
ZHO,50,0.0,,171
GAS,5,0.0,,435
GAS,10,0.0,,587
GAS,20,0.0,,649
GAS,50,0.0,,673
STR,5,0.0,,459
STR,10,0.0,,558
STR,20,0.0,,665
STR,50,0.0,,868
HUL,5,0.0,,386
HUL,10,0.0,,515
HUL,20,0.0,,603
HUL,50,0.0,,647
MAG,5,0.0,,348
MAG,10,0.0,,394
MAG,20,0.0,,419
MAG,50,0.0,,388
OCO,5,0.0,,352
OCO,10,0.0,,488
OCO,20,0.0,,585
OCO,50,0.0,,445
